date,time,source,genera,brand_name,product_name,product_type,unit,number_of_unit,price
2026-04-25,18:44:35,Shwapno,egg,loose,Egg Loose,loose,piece,12,129
2026-04-25,18:44:35,Shwapno,egg,KaziFarms Kitchen,KaziFarms Kitchen Branded Egg,packet,piece,12,190
2026-04-25,18:44:35,Shwapno,egg,Paragon,Paragon Brown Egg,packet,piece,12,205
2026-04-25,18:44:35,Shwapno,egg,Quality,Quality Premium Egg,packet,piece,12,190
2026-04-25,18:44:35,Shwapno,egg,Purnava,Purnava Vitamin-E Enriched Egg,packet,piece,12,220
2026-04-25,18:44:35,Shwapno,egg,Purnava,Purnava Omega 3 enriched Egg,packet,piece,12,280
2026-04-25,18:44:35,Shwapno,egg,Quality,Quality Omega-3 Enriched Egg,packet,piece,12,255
2026-04-25,18:44:35,Shwapno,egg,Paragon,Paragon Omega 3+ Egg,packet,piece,12,265
