date,time,source,genera,brand_name,product_name,product_type,unit,number_of_unit,price
2026-04-18,16:06:21,Shwapno,egg,Pangram,Pangram Brown Egg,packet,piece,15,205
2026-04-18,16:06:21,Shwapno,egg,Pangram,Pangram Omega Egg Egg Tag,packet,piece,15,205
2026-04-18,16:06:21,Shwapno,egg,Premma,Premma Vitamin E Enhanced Egg Tag,packet,piece,15,220
2026-04-18,16:06:21,Shwapno,egg,Quality,Quality Premium Eggs (Brown),packet,piece,5,190
2026-04-18,16:06:21,Shwapno,egg,Quality,Quality Omega-3 Enriched Egg,packet,piece,27,265
2026-04-18,16:06:21,Shwapno,egg,Quality,Quality Vitamin D Enriched Egg,packet,piece,12,205
